Commit SHA,Java File,Old function signature,New function signature
85211da0e2f287979e8e44bceeddc2bb0dd1fad7,OperationMaterialize.java,,import org.rx.reactive.Notification;
85211da0e2f287979e8e44bceeddc2bb0dd1fad7,WatchableExtensions.java,,import org.rx.reactive.Notification;
2a4122c11b95eaa3213c2c3e54a93d28b9231eec,AtomicWatchableSubscription.java,import org.rx.reactive.IDisposable;,import org.rx.reactive.Subscription;
2a4122c11b95eaa3213c2c3e54a93d28b9231eec,AtomicWatcher.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observer;
2a4122c11b95eaa3213c2c3e54a93d28b9231eec,AtomicWatcherMultiThreaded.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
2a4122c11b95eaa3213c2c3e54a93d28b9231eec,AtomicWatcherSingleThreaded.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
2a4122c11b95eaa3213c2c3e54a93d28b9231eec,OperationCombineLatest.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
2a4122c11b95eaa3213c2c3e54a93d28b9231eec,OperationFilter.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
2a4122c11b95eaa3213c2c3e54a93d28b9231eec,OperationLast.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
2a4122c11b95eaa3213c2c3e54a93d28b9231eec,OperationMap.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
2a4122c11b95eaa3213c2c3e54a93d28b9231eec,OperationMerge.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
2a4122c11b95eaa3213c2c3e54a93d28b9231eec,OperationMergeDelayError.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
2a4122c11b95eaa3213c2c3e54a93d28b9231eec,OperationOnErrorResumeNextViaFunction.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
2a4122c11b95eaa3213c2c3e54a93d28b9231eec,OperationOnErrorResumeNextViaWatchable.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
2a4122c11b95eaa3213c2c3e54a93d28b9231eec,OperationOnErrorReturn.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
2a4122c11b95eaa3213c2c3e54a93d28b9231eec,OperationScan.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
2a4122c11b95eaa3213c2c3e54a93d28b9231eec,OperationSkip.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
2a4122c11b95eaa3213c2c3e54a93d28b9231eec,OperationSynchronize.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
2a4122c11b95eaa3213c2c3e54a93d28b9231eec,OperationTake.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
2a4122c11b95eaa3213c2c3e54a93d28b9231eec,OperationToWatchableFunction.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
2a4122c11b95eaa3213c2c3e54a93d28b9231eec,OperationToWatchableIterable.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
2a4122c11b95eaa3213c2c3e54a93d28b9231eec,OperationToWatchableList.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
2a4122c11b95eaa3213c2c3e54a93d28b9231eec,OperationToWatchableSortedList.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
2a4122c11b95eaa3213c2c3e54a93d28b9231eec,OperationZip.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
9d48f996e4ee55e89dc3c60d9dd7a8d644316140,Observable.java,import org.rx.operations.ObservableExtensions;,import org.rx.operations.OperationFilter;
d297befc1fa5516148a8324a2ce47b7ce2fcbc09,AtomicObservableSubscription.java,,import org.rx.reactive.Subscription;
d297befc1fa5516148a8324a2ce47b7ce2fcbc09,AtomicObserver.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observer;
d297befc1fa5516148a8324a2ce47b7ce2fcbc09,AtomicObserverMultiThreaded.java,,import org.rx.reactive.Observable;
d297befc1fa5516148a8324a2ce47b7ce2fcbc09,AtomicObserverSingleThreaded.java,,import org.rx.reactive.Observable;
d297befc1fa5516148a8324a2ce47b7ce2fcbc09,OperationCombineLatest.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
d297befc1fa5516148a8324a2ce47b7ce2fcbc09,OperationFilter.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
d297befc1fa5516148a8324a2ce47b7ce2fcbc09,OperationLast.java,,import org.mockito.Mockito;
d297befc1fa5516148a8324a2ce47b7ce2fcbc09,OperationMap.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
d297befc1fa5516148a8324a2ce47b7ce2fcbc09,OperationMaterialize.java,,import org.rx.reactive.Observable;
d297befc1fa5516148a8324a2ce47b7ce2fcbc09,OperationMerge.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
d297befc1fa5516148a8324a2ce47b7ce2fcbc09,OperationMergeDelayError.java,,import org.rx.reactive.Observable;
d297befc1fa5516148a8324a2ce47b7ce2fcbc09,OperationOnErrorResumeNextViaFunction.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
d297befc1fa5516148a8324a2ce47b7ce2fcbc09,OperationOnErrorReturn.java,,import org.rx.reactive.Observable;
d297befc1fa5516148a8324a2ce47b7ce2fcbc09,OperationScan.java,import org.rx.reactive.IObserver;,import org.rx.reactive.Observable;
d297befc1fa5516148a8324a2ce47b7ce2fcbc09,OperationSkip.java,,import org.rx.reactive.Observable;
d297befc1fa5516148a8324a2ce47b7ce2fcbc09,OperationSynchronize.java,,import org.mockito.Mockito;
d297befc1fa5516148a8324a2ce47b7ce2fcbc09,OperationTake.java,,import org.rx.reactive.Observable;
