Commit SHA,Java File,Old function signature,New function signature
bbab2ce3c162b244119bdc22a990d7b75fdef0af,LineReader.java,import java.util.ArrayDeque;,import java.util.LinkedList;
bbab2ce3c162b244119bdc22a990d7b75fdef0af,Booleans.java,import java.util.BitSet;,
ee071f342edd0f5240dc2667a11e717a3a9395e6,CaseFormat.java,import java.util.regex.Pattern;,import com.google.common.annotations.GwtCompatible;
ee071f342edd0f5240dc2667a11e717a3a9395e6,ImmutableClassToInstanceMap.java,import static com.google.common.collect.MutableClassToInstanceMap.cast;,import com.google.common.primitives.Primitives;
ee071f342edd0f5240dc2667a11e717a3a9395e6,ImmutableSortedSet.java,,import com.google.common.annotations.Beta;
ee071f342edd0f5240dc2667a11e717a3a9395e6,Platform.java,import java.util.List;,import java.util.logging.Logger;
ee071f342edd0f5240dc2667a11e717a3a9395e6,Synchronized.java,import com.google.common.annotations.GwtIncompatible;,import com.google.common.annotations.VisibleForTesting;
ee071f342edd0f5240dc2667a11e717a3a9395e6,Executors.java,import java.util.concurrent.AbstractExecutorService;,import com.google.common.annotations.Beta;
7ce09488d186e4f085046fb8d60578726ec429de,CustomConcurrentHashMap.java,import com.google.common.base.Function;,import com.google.common.base.Equivalence;
7ce09488d186e4f085046fb8d60578726ec429de,MapMaker.java,import com.google.common.base.FinalizableWeakReference;,import com.google.common.base.Equivalence;
7ce09488d186e4f085046fb8d60578726ec429de,MapMaker.java,import com.google.common.collect.CustomConcurrentHashMap.Internals;,import com.google.common.base.Objects;
e031f621718dcd7a1baab0ba539e7495c23a735c,ExecutionList.java,import java.util.List;,import java.util.Queue;
970ad12d61e18d5171f3a5e8e3d07c83f587d2ed,CharMatcher.java,    while (true) {,    OUT: while (true) {
dd6db4e265b0428c787a801d6d69e29994fceaed,EmptyImmutableList.java,import java.util.ListIterator;,import java.util.NoSuchElementException;
dd6db4e265b0428c787a801d6d69e29994fceaed,SingletonImmutableList.java,import java.util.ListIterator;,import java.util.NoSuchElementException;
4583e8bd8b7eac0e3fbef41d341d57ef5a925c5d,RegularImmutableSortedSet.java,      while (myIterator.hasNext()) {,      while (thisIterator.hasNext()) {
9fc278e12300128c14757877fe81a7d0d47808d1,AbstractMultiset.java,import com.google.common.primitives.Ints;,import com.google.common.collect.Multiset.Entry;
697576a2b9c0a9321f7dc2a027e1e530215ee953,CharMatcherTest.java,import junit.framework.TestCase;,import com.google.common.testing.AssertionFailedError;
697576a2b9c0a9321f7dc2a027e1e530215ee953,FunctionsTest.java,import java.util.Map;,import com.google.common.testing.EqualsTester;
697576a2b9c0a9321f7dc2a027e1e530215ee953,JoinerTest.java,import com.google.testing.util.NullPointerTester;,import java.io.IOException;
697576a2b9c0a9321f7dc2a027e1e530215ee953,JoinerTest.java,import java.util.Map;,import com.google.common.base.Joiner.MapJoiner;
697576a2b9c0a9321f7dc2a027e1e530215ee953,SuppliersTest.java,import junit.framework.TestCase;,import static com.google.common.testing.SerializableTester.reserialize;
697576a2b9c0a9321f7dc2a027e1e530215ee953,ToStringHelperTest.java,import com.google.common.collect.ImmutableMap;,import java.util.Arrays;
697576a2b9c0a9321f7dc2a027e1e530215ee953,ToStringHelperTest.java,import java.util.Map;,import com.google.common.collect.ImmutableMap;
6ccbb455a8549c95eca3469a165fe02c72b6bc91,CustomConcurrentHashMap.java,    void addExpirable(Expirable expirable),"    void addExpirable(Expirable expirable, long expirationNanos)"
6ccbb455a8549c95eca3469a165fe02c72b6bc91,CharMatcherTest.java,import com.google.common.testing.AssertionFailedError;,import com.google.common.testing.Assert;
df76e2f933055aaca01a15790cbc19b4de3a2141,CharMatcherTest.java,import com.google.common.testing.NullPointerTester;,import com.google.testing.util.NullPointerTester;
df76e2f933055aaca01a15790cbc19b4de3a2141,FunctionsTest.java,import com.google.common.testing.SerializableTester;,import com.google.testing.util.EqualsTester;
df76e2f933055aaca01a15790cbc19b4de3a2141,JoinerTest.java,import com.google.common.testing.NullPointerTester;,import com.google.testing.util.NullPointerTester;
df76e2f933055aaca01a15790cbc19b4de3a2141,PreconditionsTest.java,import junit.framework.TestCase;,import com.google.testing.util.NullPointerTester;
df76e2f933055aaca01a15790cbc19b4de3a2141,PreconditionsTest.java,import com.google.common.testing.NullPointerTester;,import junit.framework.TestCase;
df76e2f933055aaca01a15790cbc19b4de3a2141,SplitterTest.java,import com.google.common.testing.NullPointerTester;,import com.google.testing.util.NullPointerTester;
df76e2f933055aaca01a15790cbc19b4de3a2141,SuppliersTest.java,import static com.google.common.testing.SerializableTester.reserialize;,import static com.google.testing.util.SerializableTester.reserialize;
df76e2f933055aaca01a15790cbc19b4de3a2141,ThrowablesTest.java,import java.util.List;,import com.google.common.collect.Iterables;
df76e2f933055aaca01a15790cbc19b4de3a2141,ThrowablesTest.java,import com.google.common.testing.NullPointerTester;,import java.io.FileNotFoundException;
df76e2f933055aaca01a15790cbc19b4de3a2141,ToStringHelperTest.java,import java.util.Map;,import com.google.common.collect.ImmutableMap;
df76e2f933055aaca01a15790cbc19b4de3a2141,ToStringHelperTest.java,import com.google.common.collect.ImmutableMap;,import java.util.Arrays;
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setNextExpirable(Expirable next),"    public void setNextExpirable(ReferenceEntry<Object, Object> next)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setNextEvictable(Evictable next),"    public void setNextEvictable(ReferenceEntry<Object, Object> next)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setPreviousEvictable(Evictable previous),"    public void setPreviousEvictable(ReferenceEntry<Object, Object> previous)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setNextExpirable(Expirable next),"    public void setNextExpirable(ReferenceEntry<K, V> next)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setPreviousExpirable(Expirable previous),"    public void setPreviousExpirable(ReferenceEntry<K, V> previous)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setNextEvictable(Evictable next),"    public void setNextEvictable(ReferenceEntry<K, V> next)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setPreviousEvictable(Evictable previous),"    public void setPreviousEvictable(ReferenceEntry<K, V> previous)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setNextExpirable(Expirable next),"    public void setNextExpirable(ReferenceEntry<K, V> next)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setPreviousExpirable(Expirable previous),"    public void setPreviousExpirable(ReferenceEntry<K, V> previous)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setNextEvictable(Evictable next),"    public void setNextEvictable(ReferenceEntry<K, V> next)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setPreviousEvictable(Evictable previous),"    public void setPreviousEvictable(ReferenceEntry<K, V> previous)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setNextExpirable(Expirable next),"    public void setNextExpirable(ReferenceEntry<K, V> next)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setPreviousExpirable(Expirable previous),"    public void setPreviousExpirable(ReferenceEntry<K, V> previous)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setNextEvictable(Evictable next),"    public void setNextEvictable(ReferenceEntry<K, V> next)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setPreviousEvictable(Evictable previous),"    public void setPreviousEvictable(ReferenceEntry<K, V> previous)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setNextExpirable(Expirable next),"    public void setNextExpirable(ReferenceEntry<K, V> next)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setPreviousExpirable(Expirable previous),"    public void setPreviousExpirable(ReferenceEntry<K, V> previous)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setNextEvictable(Evictable next),"    public void setNextEvictable(ReferenceEntry<K, V> next)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setPreviousEvictable(Evictable previous),"    public void setPreviousEvictable(ReferenceEntry<K, V> previous)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setNextExpirable(Expirable next),"    public void setNextExpirable(ReferenceEntry<K, V> next)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setPreviousExpirable(Expirable previous),"    public void setPreviousExpirable(ReferenceEntry<K, V> previous)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setNextEvictable(Evictable next),"    public void setNextEvictable(ReferenceEntry<K, V> next)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setPreviousEvictable(Evictable previous),"    public void setPreviousEvictable(ReferenceEntry<K, V> previous)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setNextExpirable(Expirable next),"    public void setNextExpirable(ReferenceEntry<K, V> next)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setPreviousExpirable(Expirable previous),"    public void setPreviousExpirable(ReferenceEntry<K, V> previous)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setNextEvictable(Evictable next),"    public void setNextEvictable(ReferenceEntry<K, V> next)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    public void setPreviousEvictable(Evictable previous),"    public void setPreviousEvictable(ReferenceEntry<K, V> previous)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,"  boolean isExpired(Expirable expirable, long now)","  boolean isExpired(ReferenceEntry<K, V> expirable, long now)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,      public void setNextEvictable(Evictable next),"      public void setNextEvictable(ReferenceEntry<K, V> next)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,      public void setPreviousEvictable(Evictable previous),"      public void setPreviousEvictable(ReferenceEntry<K, V> previous)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,      public void setNextExpirable(Expirable next),"      public void setNextExpirable(ReferenceEntry<K, V> next)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,      public void setPreviousExpirable(Expirable previous),"      public void setPreviousExpirable(ReferenceEntry<K, V> previous)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    void addExpirable(Expirable expirable),"    void addExpirable(ReferenceEntry<K, V> expirable)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    void removeExpirable(Expirable expirable),"    void removeExpirable(ReferenceEntry<K, V> expirable)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    void addEvictable(Evictable evictable),"    void addEvictable(ReferenceEntry<K, V> evictable)"
4b5166a10e3f5d914791a51510a26f43cda286e3,CustomConcurrentHashMap.java,    void removeEvictable(Evictable evictable),"    void removeEvictable(ReferenceEntry<K, V> evictable)"
39fbaad1df64ba579bc41031dfbde99e5f4ba1d4,CustomConcurrentHashMap.java,    while ((entry = pendingEvictionNotifications.poll()) != null) {,    while ((entry = evictionNotificationQueue.poll()) != null) {
