Commit SHA,Java File,Old function signature,New function signature
08c3145c470227a2aedef9171db4324f287a5112,BaseEntity.java,import javax.persistence.Id;,import javax.persistence.Inheritance;
7df4774d8ff302e8c97e05d9f419c9c8afbb47fb,Spellbook.java,import javax.persistence.ManyToOne;,import javax.persistence.ManyToMany;
7df4774d8ff302e8c97e05d9f419c9c8afbb47fb,Wizard.java,import javax.persistence.OneToMany;,import javax.persistence.ManyToMany;
935cdd031e70c080bdff3571b8ec35aaf1d9c211,SpellDaoImpl.java,import org.hibernate.criterion.Expression;,import org.hibernate.criterion.Restrictions;
935cdd031e70c080bdff3571b8ec35aaf1d9c211,SpellbookDaoImpl.java,import org.hibernate.criterion.Expression;,import org.hibernate.criterion.Restrictions;
935cdd031e70c080bdff3571b8ec35aaf1d9c211,WizardDaoImpl.java,import org.hibernate.criterion.Expression;,import org.hibernate.criterion.Restrictions;
b58311aedf64b77f9701cffb877b527e388f42c5,App.java,    public static void main( String[] args ) {,import java.io.IOException;
718b3cc61d39638ee8a6254e97a93f7acb8c3686,Store.java,public interface Store {,import java.util.LinkedList;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,App.java,import com.iluwatar.Hero.HeroBuilder;,import com.iluwatar. builder.Hero.HeroBuilder;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,AppTest.java,import com.iluwatar.app.App;,import com.iluwatar.callback.App;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,App.java,import com.iluwatar.view.MenuView;,import com.iluwatar.flux.action.MenuItem;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,Dispatcher.java,import com.iluwatar.store.Store;,import com.iluwatar.flux.action.Action;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,ContentStore.java,import com.iluwatar.action.ContentAction;,import com.iluwatar.flux.action.Action;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,MenuStore.java,import com.iluwatar.action.MenuItem;,import com.iluwatar.flux.action.Action;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,Store.java,import com.iluwatar.view.View;,import com.iluwatar.flux.action.Action;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,ContentView.java,import com.iluwatar.store.Store;,import com.iluwatar.flux.action.Content;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,MenuView.java,import com.iluwatar.store.Store;,import com.iluwatar.flux.action.MenuItem;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,View.java,import com.iluwatar.store.Store;,import com.iluwatar.flux.store.Store;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,AppTest.java,import com.iluwatar.app.App;,import com.iluwatar.flux.app.App;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,AppTest.java,import com.iluwatar.app.App;,import com.iluwatar.multiton.App;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,App.java,import com.iluwatar.generic.GWeather;,import com.iluwatar.observer.generic.GHobbits;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,GHobbits.java,import com.iluwatar.WeatherType;,import com.iluwatar.observer.WeatherType;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,GOrcs.java,import com.iluwatar.WeatherType;,import com.iluwatar.observer.WeatherType;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,GWeather.java,import com.iluwatar.WeatherType;,import com.iluwatar.observer.WeatherType;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,Consumer.java,import com.iluwatar.Message.Headers;,import com.iluwatar.poisonpill.Message.Headers;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,Producer.java,import com.iluwatar.Message.Headers;,import com.iluwatar.poisonpill.Message.Headers;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,App.java,import com.iluwatar.Character.Type;,import com.iluwatar.property.Character.Type;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,App.java,import com.iluwatar.wizard.WizardDaoImpl;,import com.iluwatar.servicelayer.magic.MagicService;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,DaoBaseImpl.java,import com.iluwatar.hibernate.HibernateUtil;,import com.iluwatar.servicelayer.hibernate.HibernateUtil;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,HibernateUtil.java,import com.iluwatar.wizard.Wizard;,import com.iluwatar.servicelayer.servicelayer.spell.Spell;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,MagicService.java,import com.iluwatar.wizard.Wizard;,import com.iluwatar.servicelayer.servicelayer.spell.Spell;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,MagicServiceImpl.java,import com.iluwatar.wizard.WizardDao;,import com.iluwatar.servicelayer.servicelayer.spell.Spell;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,Spell.java,import com.iluwatar.spellbook.Spellbook;,import com.iluwatar.servicelayer.common.BaseEntity;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,SpellDao.java,import com.iluwatar.common.Dao;,import com.iluwatar.servicelayer.common.Dao;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,SpellDaoImpl.java,import com.iluwatar.common.DaoBaseImpl;,import com.iluwatar.servicelayer.common.DaoBaseImpl;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,Spellbook.java,import com.iluwatar.wizard.Wizard;,import com.iluwatar.servicelayer.common.BaseEntity;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,SpellbookDao.java,import com.iluwatar.common.Dao;,import com.iluwatar.servicelayer.common.Dao;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,SpellbookDaoImpl.java,import com.iluwatar.common.DaoBaseImpl;,import com.iluwatar.servicelayer.common.DaoBaseImpl;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,Wizard.java,import com.iluwatar.spellbook.Spellbook;,import com.iluwatar.servicelayer.common.BaseEntity;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,WizardDao.java,import com.iluwatar.common.Dao;,import com.iluwatar.servicelayer.common.Dao;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,WizardDaoImpl.java,import com.iluwatar.spellbook.Spellbook;,import com.iluwatar.servicelayer.common.DaoBaseImpl;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,App.java,import com.iluwatar.selector.MovementSelector;,import com.iluwatar.specification.creature.Creature;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,AbstractCreature.java,import com.iluwatar.property.Size;,import com.iluwatar.specification.property.Color;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,ColorSelector.java,import com.iluwatar.property.Color;,import com.iluwatar.specification.creature.Creature;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,MovementSelector.java,import com.iluwatar.property.Movement;,import com.iluwatar.specification.creature.Creature;
8524c75ba6fd1e2bfe1f5cba3d3c9211bdcbbfcb,SizeSelector.java,import com.iluwatar.property.Size;,import com.iluwatar.specification.creature.Creature;
3d488ec15a81d16be35843bb96505da1306db88b,AppTest.java,import com.iluwatar.dependencyinjection.App;,import com.iluwatar.dependency.injection.App;
3d488ec15a81d16be35843bb96505da1306db88b,AppTest.java,import com.iluwatar.executearound.App;,import com.iluwatar.execute.around.App;
3d488ec15a81d16be35843bb96505da1306db88b,AppTest.java,import com.iluwatar.modelviewcontroller.App;,import com.iluwatar.model.view.controller.App;
