Commit SHA,Java File,Old function signature,New function signature
628a8c79aa4ba4b9dbf049dde7ec91eea7533300,SecurityAutoConfiguration.java,import org.springframework.security.config.annotation.web.HttpConfiguration;,import org.springframework.security.config.annotation.web.HttpConfigurator;
ce2a2beab47ec8951ee79678ea793ff10140a0de,ManagementConfiguration.java,import org.springframework.bootstrap.service.properties.ContainerProperties;,import org.springframework.bootstrap.service.properties.ManagementServerProperties;
ce2a2beab47ec8951ee79678ea793ff10140a0de,ManagementServerConfiguration.java,import org.springframework.bootstrap.service.properties.ContainerProperties;,import org.springframework.bootstrap.service.properties.ManagementServerProperties;
ce2a2beab47ec8951ee79678ea793ff10140a0de,ServerConfiguration.java,import org.springframework.bootstrap.service.properties.ContainerProperties.Tomcat;,import org.springframework.bootstrap.service.properties.ServerProperties;
ce2a2beab47ec8951ee79678ea793ff10140a0de,ServiceAutoConfiguration.java,import org.springframework.bootstrap.service.properties.ContainerProperties;,import org.springframework.bootstrap.service.properties.ManagementServerProperties;
ce2a2beab47ec8951ee79678ea793ff10140a0de,ShutdownEndpoint.java,import org.springframework.bootstrap.service.properties.ContainerProperties;,import org.springframework.bootstrap.service.properties.ManagementServerProperties;
bd79ec2362770b99ba3a9d19b2ac97105b63d4b5,IntegrationBootstrapApplication.java,import org.springframework.bootstrap.service.annotation.EnableConfigurationProperties;,import org.springframework.bootstrap.context.annotation.EnableConfigurationProperties;
bd79ec2362770b99ba3a9d19b2ac97105b63d4b5,ServiceBootstrapApplication.java,import org.springframework.bootstrap.service.annotation.EnableConfigurationProperties;,import org.springframework.bootstrap.context.annotation.EnableConfigurationProperties;
bd79ec2362770b99ba3a9d19b2ac97105b63d4b5,SecurityConfiguration.java,import org.springframework.bootstrap.service.annotation.EnableConfigurationProperties;,import org.springframework.bootstrap.context.annotation.EnableConfigurationProperties;
bd79ec2362770b99ba3a9d19b2ac97105b63d4b5,ServiceAutoConfiguration.java,import org.springframework.bootstrap.service.annotation.EnableConfigurationProperties;,import org.springframework.bootstrap.context.annotation.EnableConfigurationProperties;
bd79ec2362770b99ba3a9d19b2ac97105b63d4b5,EnableConfigurationPropertiesImportSelector.java,					if (value instanceof Class) {,					if (value instanceof Class && value != void.class) {
0a730beb2a518a1ffc9bb363f25de239331e2336,DefaultCounterService.java,import org.joda.time.DateTime;,import java.util.Date;
0a730beb2a518a1ffc9bb363f25de239331e2336,DefaultGaugeService.java,import org.joda.time.DateTime;,import java.util.Date;
0a730beb2a518a1ffc9bb363f25de239331e2336,Measurement.java,import org.joda.time.DateTime;,import java.util.Date;
0a730beb2a518a1ffc9bb363f25de239331e2336,MetricRepository.java,import org.joda.time.DateTime;,import java.util.Date;
0a730beb2a518a1ffc9bb363f25de239331e2336,SecurityFilterPostProcessorTests.java,import org.springframework.bootstrap.service.trace.SecurityFilterPostProcessor.WebRequestLoggingFilter;,import org.springframework.bootstrap.service.security.SecurityFilterPostProcessor;
504d96eb51e3df5c191ad126e0bb6c7578bac8c1,PropertySourcesBindingPostProcessor.java,import org.springframework.bootstrap.context.annotation.ConfigurationProperties;,import org.springframework.bootstrap.bind.PropertiesConfigurationFactory;
823137711341ccb9e12620baff8fa4ddbd3c593e,AuditApplicationEvent.java,import org.springframework.bootstrap.service.audit.AuditEvent;,import org.springframework.bootstrap.actuate.audit.AuditEvent;
823137711341ccb9e12620baff8fa4ddbd3c593e,AuditListener.java,import org.springframework.bootstrap.service.audit.AuditEventRepository;,import org.springframework.bootstrap.actuate.audit.AuditEventRepository;
823137711341ccb9e12620baff8fa4ddbd3c593e,AuthenticationAuditListener.java,import org.springframework.bootstrap.service.audit.listener.AuditApplicationEvent;,import org.springframework.bootstrap.actuate.audit.AuditEvent;
823137711341ccb9e12620baff8fa4ddbd3c593e,AuthorizationAuditListener.java,import org.springframework.bootstrap.service.audit.listener.AuditApplicationEvent;,import org.springframework.bootstrap.actuate.audit.AuditEvent;
823137711341ccb9e12620baff8fa4ddbd3c593e,SecurityFilterPostProcessor.java,import org.springframework.bootstrap.service.trace.TraceRepository;,import org.springframework.bootstrap.actuate.trace.InMemoryTraceRepository;
823137711341ccb9e12620baff8fa4ddbd3c593e,ShutdownEndpoint.java,import org.springframework.bootstrap.service.properties.ManagementServerProperties;,import org.springframework.bootstrap.actuate.properties.ManagementServerProperties;
823137711341ccb9e12620baff8fa4ddbd3c593e,PublicMetrics.java,import org.springframework.bootstrap.service.metrics.Metric;,import org.springframework.bootstrap.actuate.metrics.Metric;
823137711341ccb9e12620baff8fa4ddbd3c593e,VanillaPublicMetrics.java,import org.springframework.bootstrap.service.metrics.MetricRepository;,import org.springframework.bootstrap.actuate.metrics.Metric;
823137711341ccb9e12620baff8fa4ddbd3c593e,VarzEndpoint.java,import org.springframework.bootstrap.service.metrics.Metric;,import org.springframework.bootstrap.actuate.metrics.Metric;
823137711341ccb9e12620baff8fa4ddbd3c593e,SecurityFilterPostProcessorTests.java,import org.springframework.bootstrap.service.trace.InMemoryTraceRepository;,import org.springframework.bootstrap.actuate.security.SecurityFilterPostProcessor;
823137711341ccb9e12620baff8fa4ddbd3c593e,EndpointsPropertiesServiceBootstrapApplicationTests.java,import org.springframework.bootstrap.service.properties.EndpointsProperties;,import org.springframework.bootstrap.actuate.properties.EndpointsProperties;
a0e51d06ea2a3aa7a171b996652c6a004d84fafb,TraceConfiguration.java,import org.springframework.bootstrap.actuate.trace.TraceEndpoint;,import org.springframework.bootstrap.actuate.trace.TraceEndpoints;
ef5c8aa30433654b01dd62bbd088cb09dd0d315a,ServerConfiguration.java,import org.springframework.beans.factory.BeanFactoryAware;,import org.springframework.beans.factory.annotation.Autowired;
ef5c8aa30433654b01dd62bbd088cb09dd0d315a,ServerConfiguration.java,import org.springframework.bootstrap.context.embedded.EmbeddedServletContainerFactory;,import org.springframework.bootstrap.context.embedded.ConfigurableEmbeddedServletContainerFactory;
ef5c8aa30433654b01dd62bbd088cb09dd0d315a,MockEmbeddedServletContainerFactory.java,import org.springframework.bootstrap.context.embedded.EmbeddedServletContainerFactory;,
728b4887c12a4bb2ef63a7f0a118708ac08f2c0b,HealthConfiguration.java,import org.springframework.bootstrap.actuate.health.VanillaHealthIndicator;,import org.springframework.bootstrap.actuate.endpoint.health.HealthEndpoint;
728b4887c12a4bb2ef63a7f0a118708ac08f2c0b,InfoConfiguration.java,import org.springframework.bootstrap.actuate.info.InfoEndpoint;,import org.springframework.bootstrap.actuate.endpoint.info.InfoEndpoint;
